Unnamed: 0,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name,Exact Names,Entity Types,Identification Numbers,Date of Incorporations,Effective Dates,Location of Principal Offices,Agent Resigned,Address Maintained,Name and Address of Registered Agents,"Officers, Directors, and Corporations",Name and Business Address of General Partners,LLC Managers,Stocks,Purposes,NIACS,Business Entities
23,LPGA Amateur Golf RI Chapter,152205,813910, ,"945 RESERVOIR AVENUE STE ACRANSTON, RI  02910  USA",active,LP,EWGA Rhode Island Chapter of the Executive Women's Golf Association,Domestic Non-Profit Corporation,000152205,12-15-2005,12-15-2005,"945 RESERVOIR AVENUE STE A,CRANSTON, RI 02910 USA",N,Y," STEVEN FERDINANDI, ESQ.,945 RESERVOIR AVENUE, SUITE A ,CRANSTON, RI 02910 USA","DIRECTORDOROTHY BOULEY 150 MIDDLE HWY BARRINGTON, RI 02806 USADIRECTORKRISTAN MCCLINTOCK 198 CANONCHET DR PORTSMOUTH, RI 02871 USADIRECTORBONNIE BEELEY 163 DRYDEN BLVD WARWICK, RI 02888 USADIRECTORELISABETH GALLIGAN 175 GRAND AVE PAWTUCKET, RI 02861 USADIRECTORSHAE MCWILLIAMS 2 PETTEE AVENUE NORTH KINGSTOWN, RI 02852 USA",None,None,None," TO RECEIVE, ADMINISTER, AND EXPEND FUNDS TO PROVIDE LEADERSHIP AND OTHER EDUCATIONAL PROGRAMS, GOLF INSTRUCTION AND NETWORKING ACTIVITIES TO WOMEN TO IMPROVE THEIR LEADERSHIP ABILITIES, SELF-ESTEEM AND BUSINESS SKILLS THROUGH GOLF TITLE: 7-6 ",813910 Business Associations ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
24,LPH LLC,1762277,812113, ,"547 KILLINGLY ST JOHNSTON, RI  02919  USA",active,LP,LPH LLC,Domestic Limited Liability Company,001762277,08-30-2023,08-30-2023,"547 KILLINGLY ST ,JOHNSTON, RI 02919 USA",N,Y," LOI VAN NGUYEN,547 KILLINGLY ST ,JOHNSTON, RI 02919 USA",None,"MANAGERLOI VAN NGUYEN 104 WINFIELD WORCESTER , MA 01602 USAMANAGERHUNG TAN NGUYEN 5 BENEFIT ST METHEUN, MA 01844 USAMANAGERLE PHUOC THAN NGUYEN 415 SEA ST QUINCY , MA 02169 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERLOI VAN NGUYEN 104 WINFIELD WORCESTER , MA 01602 USAMANAGERHUNG TAN NGUYEN 5 BENEFIT ST METHEUN, MA 01844 USAMANAGERLE PHUOC THAN NGUYEN 415 SEA ST QUINCY , MA 02169 USA",None," NAILS SALON- PEDICURES, MANICURES, ETC. ",812113 Nail Salons ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
25,"LPI PROPERTIES, LLC",117105,531390, ,"29 ARMENTO STREET JOHNSTON, RI  02919  USA",active,LP,"LPI PROPERTIES, LLC",Domestic Limited Liability Company,000117105,02-27-2001,02-27-2001,"29 ARMENTO STREET ,JOHNSTON, RI 02919 USA",N,Y," WILLIAM T. GEORGE, ESQ.,645 PUTNAM PIKE ,GREENVILLE, RI 02828 USA",None, , ,None, REAL ESTATE PROPERTY MANAGEMENT AND PURCHASE TITLE: 7-16 ,531390 Other Activities Related to Real Estate ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
26,"LPJ, LLC",149072,531110,Revocation Notice,"40 BANK ST COVENTRY, RI  02816  USA",active,LP,"LPJ, LLC",Domestic Limited Liability Company,000149072,06-30-2005,06-30-2005,"40 BANK ST ,COVENTRY, RI 02816 USA",N,Y," LEO R. BLAIS,40 BANK STREET ,COVENTRY, RI 02816 USA",None, , ,None, INVESTMENTS TITLE: 7-16 ,531110 Lessors of Residential Buildings and Dwellings ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
27,"LPL Employee Services, LLC",1712452,523120, ,"4707 EXECUTIVE DRIVE SAN DIEGO, CA  92121  USA",active,LP,"LPL Employee Services, LLC",Foreign Limited Liability Company,001712452,09-04-2020,09-04-2020,"4707 EXECUTIVE DRIVE ,SAN DIEGO, CA 92121 USA",N,Y," CT CORPORATION SYSTEM,450 VETERANS MEMORIAL PARKWAY, SUITE 7A ,EAST PROVIDENCE, RI 02914 USA",None, , ,None, SERVICES FOR FINANCIAL ADVISORS AND THEIR STAFF ,523120 Securities Brokerage ,"ALL FILINGS,Amendment to Application for Registration,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Registration,Application for Transfer of Authority,Articles of Merger,Certificate of Cancellation,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
28,LPL FINANCIAL LLC,789551,523110, ,"4707 EXECUTIVE DRIVE SAN DIEGO, CA  92121  USA",active,LP,LPL FINANCIAL LLC,Foreign Limited Liability Company,000789551,04-13-2012,04-13-2012,"4707 EXECUTIVE DRIVE ,SAN DIEGO, CA 92121 USA",N,Y," CT CORPORATION SYSTEM,450 VETERANS MEMORIAL PARKWAY, SUITE 7A ,EAST PROVIDENCE, RI 02914 USA",None,"ManagerDAN H ARNOLD 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USAManagerMATTHEW J AUDETTE 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USAManagerMICHELLE OROSCHAKOFF 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:ManagerDAN H ARNOLD 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USAManagerMATTHEW J AUDETTE 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USAManagerMICHELLE OROSCHAKOFF 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USA",None, SECURITIES BROKER-DEALER ,523110 Investment Banking and Securities Dealing ,"ALL FILINGS,Amendment to Application for Registration,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Registration,Application for Transfer of Authority,Articles of Merger,Certificate of Cancellation,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
29,"LPL Insurance Associates, Inc.",88257,524210, ,"4707 EXECUTIVE DRIVE	 SAN DIEGO	, CA  92121  USA",active,LP,"LPL Insurance Associates, Inc.",Foreign Corporation,000088257,02-16-1996,02-16-1996,"4707 EXECUTIVE DRIVE ,SAN DIEGO , CA 92121 USA",N,Y," CT CORPORATION SYSTEM,450 VETERANS MEMORIAL PARKWAY, SUITE 7A ,EAST PROVIDENCE, RI 02914 USA","PRESIDENTTIM DONA 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USATREASURERCHRISTOPHER M. MITCHELL 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USASECRETARYGREGORY M. WOODS 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USAASSISTANT SECRETARYROBERT HATFIELD III 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USAVICE PRESIDENT, INSURANCE OPERATIONS RACHEL SACHS 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USAVICE PRESIDENT, INSURANCE DISTRIBUTION CATHY BORGMAN 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USACOMPLIANCE OFFICER MARK SEFFINGER 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USAASSISTANT TREASURER PAUL RYAN 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USAVICE PRESIDENTVACANT VACANT 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USATAX OFFICER NICHOLAS STOKES 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USADIRECTORTIM DONA 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USADIRECTORROBERT HATFIELD III 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USADIRECTORANERI JAMBUSARIA 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USADIRECTORALISA MAUTA 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USADIRECTORROBERT PETTMAN 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USADIRECTORMATTHEW ENYEDI 4707 EXECUTIVE DRIVE SAN DIEGO, CA 92121 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.00001,0000", INSURANCE AGENCY AND/OR BROKER ,524210 Insurance Agencies and Brokerages ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
30,"LPM Advisors, LLC",1753208,541611, ,"96 STARRETT DRIVE CHARLESTOWN, RI  02813  USA",active,LP,"LPM Advisors, LLC",Domestic Limited Liability Company,001753208,02-21-2023,02-21-2023,"96 STARRETT DRIVE ,CHARLESTOWN, RI 02813 USA",N,Y," LESLIE PROTOMASTRO,96 STARRETT DRIVE ,CHARLESTOWN, RI 02813 USA",None, , ,None, MANAGEMENT CONSULTING SERVICES FOR HEALTHCARE BUSINESSES AND MEDICAL PRACTICES. ,541611 Administrative Management and General Management Consulting Services ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
31,"LPM Holdings, Inc.",95400,453998, ,"2005 E INDIAN SCHOOL RD PHOENIX, AZ  85016  USA",active,LP,"Leslie's Poolmart, Inc.",Foreign Corporation,000095400,06-06-1997,06-06-1997,"2005 E INDIAN SCHOOL RD ,PHOENIX, AZ 85016 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA","CEOMIKE EGECK 2005 E INDIAN SCHOOL RD PHOENIX, AZ 85016 USACHIEF LEGAL OFFICER AND CORPORATE SECRETARYBRAD GAZAWAY 2005 E INDIAN SCHOOL ROAD PHOENIX, AZ 85016 USACFO AND TREASURERSCOTT BOWMAN 2005 E INDIAN SCHOOL RD PHOENIX, AZ 85016 USADIRECTORSCOTT BOWMAN 2005 E INDIAN SCHOOL RD PHOENIX, AZ 85016 USADIRECTORMIKE EGECK 2005 E INDIAN SCHOOL RD PHOENIX, AZ 85016 USADIRECTORBRAD GAZAWAY 2005 E INDIAN SCHOOL ROAD PHOENIX, AZ 85016 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCWPÂ $ 0.001051,000,000100"," SALE OF SWIMMING POOLS, SPAS, SWIMMING POOL SUPPLIES AND RELATED ITEMS. ",453998 All Other Miscellaneous Store Retailers (except Tobacco Stores) ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
32,LPR,799578,813319,Revoked Entity,"46 RHODES STREET PAWTUCKET, RI  02860  USA",active,LP,LIBERIA PUBLIC RADIO,Domestic Non-Profit Corporation,000799578,06-07-2013,06-07-2013,"46 RHODES STREET ,PAWTUCKET, RI 02860 USA",N,Y," ALPHONSO ZEAN SOE,46 RHODES STREET, APT. 2 ,PAWTUCKET, RI 02860 USA","PRESIDENTALPHONSO ZEON SOE 46 RHODES STREET PAWTUCKET, RI 02860 USADIRECTORSAMSUN BROWN TOE 5530 JONESBORO WAY SACRAMENTO, CA 95835 USA",None,None,None, TO GIVE VOICE TO THE DIASIORA COMMUNITY ,813319 Other Social Advocacy Organizations ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
33,"LPR REALTY INVESTMENTS, LLC",789443,531110,Revocation Notice,"499 WASHINGTON RD BARRINGTON, RI  02806  USA",active,LP,"LPR REALTY INVESTMENTS, LLC",Domestic Limited Liability Company,000789443,04-10-2012,04-10-2012,"499 WASHINGTON RD ,BARRINGTON, RI 02806 USA",N,Y," WILLIAM J. CONLEY, JR., ESQ.,123 DYER STREET, #2B ,PROVIDENCE, RI 02903 USA",None, , ,None, REAL ESTATE PARTNERSHIP ,531110 Lessors of Residential Buildings and Dwellings ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
